Kategori_Pencarian,Posisi,Perusahaan,Lokasi,Link
data-scientist,CRM and Supply Chain Data Scientist,PT Balarama Prajakarsaka Indonesia,Indragiri Hilir,https://id.jobstreet.com/id/job/92216448?type=standard&ref=search-standalone&origin=cardTitle#sol=fcfbcfc5d0bb420164069447a26253f55e9407e5
data-scientist,Data Analyst,Brilliant Think Center,Ciputat Timur,https://id.jobstreet.com/id/job/92203280?type=standard&ref=search-standalone&origin=cardTitle#sol=45389093f6078bd02b1421ed9f20d09aa67f7628
data-scientist,Data Scientist,PT Sharing Vision Indonesia,Jakarta Pusat,https://id.jobstreet.com/id/job/92033644?type=standard&ref=search-standalone&origin=cardTitle#sol=40f0900eee3eb556f1979d148657e51c1e48d74d
data-scientist,DATA ANALYST,PT Mitra Saruta Indonesia,Surabaya,https://id.jobstreet.com/id/job/91735710?type=standard&ref=search-standalone&origin=cardTitle#sol=5d6a2f1c4b05aa4941047fadb2751d9e7635bdae
data-scientist,Staff Data Analyst,PT Mensana Aneka Satwa,Bekasi,https://id.jobstreet.com/id/job/92027787?type=standard&ref=search-standalone&origin=cardTitle#sol=6d76f116e4b30ac4d2c3c3fa43162a0b97fd7f1f
data-scientist,Data Engineer,TUNTUN SEKURITAS INDONESIA,Jakarta Utara,https://id.jobstreet.com/id/job/92218017?type=standard&ref=search-standalone&origin=cardTitle#sol=14cde2b58e523c352d9dcfb7409defdf4fa19e97
data-scientist,Data Scientist Intern,PT GOTO GOJEK TOKOPEDIA TBK,Jakarta Raya,https://id.jobstreet.com/id/job/91924068?type=standard&ref=search-standalone&origin=cardTitle#sol=369e27e55d3102048fd3d7093264326ea814d822
data-scientist,IT Quality & Data Integrity Officer,PT. Kalbio Global Medika,Cikarang Pusat,https://id.jobstreet.com/id/job/92221748?type=standard&ref=search-standalone&origin=cardTitle#sol=8135a8236220cfef4b052c4b4e8e64d2d17b5577
data-scientist,Supervisor Data Analyst,PT Indako Trading Coy,Sumatera Utara,https://id.jobstreet.com/id/job/92061067?type=standard&ref=search-standalone&origin=cardTitle#sol=d9c8e50c78c599935ea406bab0f2ff00420e50ec
data-scientist,Data Analyst Revenue Staff,Taman Safari Indonesia,Bogor,https://id.jobstreet.com/id/job/92152253?type=standard&ref=search-standalone&origin=cardTitle#sol=b01f77a59235a7e685796ea899702d61779c45fa
data-scientist,Data Scientist,PT. Berca Hardayaperkasa,Jakarta Pusat,https://id.jobstreet.com/id/job/91585412?type=standard&ref=search-standalone&origin=cardTitle#sol=7b21e804aa2c317d642e8f55bd935b7f046bd5a3
data-scientist,Analyst Laboratorium (operator),Pengiklan Anonim,Purwakarta,https://id.jobstreet.com/id/job/91692400?type=standard&ref=search-standalone&origin=cardTitle#sol=dd5cf208978ece02b5d33ae874c400a043f75996
data-scientist,Unit Head – Batch Data Engineering,"PT Bank Permata, Tbk",Tangerang Selatan,https://id.jobstreet.com/id/job/92203151?type=standard&ref=search-standalone&origin=cardTitle#sol=3d170501f42f651d5694f58ec47732a7787f0f04
data-scientist,Junior Data Scientist,PT Akulaku Silvrr Indonesia,Jakarta Pusat,https://id.jobstreet.com/id/job/92064964?type=standard&ref=search-standalone&origin=cardTitle#sol=45ff26ba7558ffb7ec282817920e269a3fa1440c
data-scientist,Data Science & Portfolio Manager,PT Sejahtera Sama Kita,Jakarta Raya,https://id.jobstreet.com/id/job/92175888?type=standard&ref=search-standalone&origin=cardTitle#sol=269ef2c1f7bc7d2f27e142e9e5160a86d566885a
data-scientist,Data Scientist,PT Eka Jaya Internasional,Tangerang Selatan,https://id.jobstreet.com/id/job/91695817?type=standard&ref=search-standalone&origin=cardTitle#sol=9754abb328e5373669d9f3920e8f4c8fdf18dcd9
data-scientist,Data Analyst,PT Bersaudara Inti Corpora,Jakarta Barat,https://id.jobstreet.com/id/job/92028378?type=standard&ref=search-standalone&origin=cardTitle#sol=2f893ee2505198a3ddec5d4d92f0f7cab38ec6ad
data-scientist,Data Engineer,Pengiklan Anonim,Jakarta Raya,https://id.jobstreet.com/id/job/92193038?type=standard&ref=search-standalone&origin=cardTitle#sol=5b5f6ea3bf2d9e90a642d4ed1af1e3d491d713c7
data-scientist,Data Analyst,Pengiklan Anonim,Jakarta Selatan,https://id.jobstreet.com/id/job/92210221?type=standard&ref=search-standalone&origin=cardTitle#sol=29bd3517d73910c31ce61a8ac5b82da68a23c0f5
data-scientist,Product Analyst,PT Tjitra Selaras Sampoerno,Jakarta Barat,https://id.jobstreet.com/id/job/92067699?type=standard&ref=search-standalone&origin=cardTitle#sol=7b398196915fc69c891d1f21d93a607341910ff9
data-scientist,Growth Analyst,Jago Coffee,Jakarta Pusat,https://id.jobstreet.com/id/job/92176703?type=standard&ref=search-standalone&origin=cardTitle#sol=4602b758a40952bf5cdabfedcd445fb12bacd9e7
data-scientist,Data & Project Support Section Head,PT Depoguna Bangunan Online,Jakarta Pusat,https://id.jobstreet.com/id/job/92193136?type=standard&ref=search-standalone&origin=cardTitle#sol=ed012ed525ab87f26296ff0da7b8bb1c2169a739
data-scientist,Data Analyst,Jago Coffee,Jakarta Pusat,https://id.jobstreet.com/id/job/92092798?type=standard&ref=search-standalone&origin=cardTitle#sol=73ec1fbd2df69d8b4083b30568b3b62cc0ccd515
data-scientist,Specialist AI Data Governance,"PT Bank Permata, Tbk",Tangerang Selatan,https://id.jobstreet.com/id/job/92202969?type=standard&ref=search-standalone&origin=cardTitle#sol=985af00f48b4d178c23b574106ed812f9e60d786
data-scientist,Data Analyst - Cost Management Logistik,PT JET TRANSPORT SERVICES,Jakarta Raya,https://id.jobstreet.com/id/job/91693037?type=standard&ref=search-standalone&origin=cardTitle#sol=4d4445b22e4b803416008946eb820663c2b2712e
data-scientist,AI Engineer,TUNTUN SEKURITAS INDONESIA,Jakarta Utara,https://id.jobstreet.com/id/job/92217979?type=standard&ref=search-standalone&origin=cardTitle#sol=56be267d46dc2c2c4f8068462852f1d136160ab4
data-scientist,Senior Data Scientist (Analytics) - Grab Financial Services,PT Solusi Transportasi Indonesia,Kebayoran Lama,https://id.jobstreet.com/id/job/91402368?type=standard&ref=search-standalone&origin=cardTitle#sol=f85a72cd0025e2b31c7ab168e1b0bba365d5b775
data-scientist,Data Scientist,MEDITAP,Tangerang,https://id.jobstreet.com/id/job/91765554?type=standard&ref=search-standalone&origin=cardTitle#sol=f2a7ecf1d934eb792eeef587c275ddc8f93302b9
data-scientist,Document Controller,Datalec Precision Installations Pte Ltd,Batam,https://id.jobstreet.com/id/job/91862819?type=standard&ref=search-standalone&origin=cardTitle#sol=8ebab751ee39f0b06af4825383168b34db130dfc
data-scientist,Data Engineer,PT Data Labs Analytics,Jakarta Pusat,https://id.jobstreet.com/id/job/92223379?type=standard&ref=search-standalone&origin=cardTitle#sol=dbc54b8ce58044d88d1beb176529f890ebd29f46
data-scientist,Data Warehouse and Reporting Specialist,PT Bina Karya Prima,Jakarta Utara,https://id.jobstreet.com/id/job/91991590?type=standard&ref=search-standalone&origin=cardTitle#sol=0c83ac866731dd5018a508c36b7f8faea048d864
data-scientist,Senior Data Scientist (Analytics) - GFin,PT Solusi Transportasi Indonesia,Kebayoran Lama,https://id.jobstreet.com/id/job/91595491?type=standard&ref=search-standalone&origin=cardTitle#sol=e36b9f8dee6dc4d8e79aa5809694e7823b01e4d6
data-scientist,Business Analyst,PT Provalindo Nusa,Jakarta Selatan,https://id.jobstreet.com/id/job/92004117?type=standard&ref=search-standalone&origin=cardTitle#sol=50a80524882a81645744c401d8877d0f5e2a09b0
data-scientist,Data Engineer,PT Sigmantara Alfindo,Tangerang,https://id.jobstreet.com/id/job/92200793?type=standard&ref=search-standalone&origin=cardTitle#sol=b57df01c39f2122014116c2cb0802351266923bc
data-scientist,Data Process Lead,Cargill Tropical Palm,Jakarta Pusat,https://id.jobstreet.com/id/job/92090078?type=standard&ref=search-standalone&origin=cardTitle#sol=d48ca0669efa968e050ffb4dfd12e236f0c732a6
data-scientist,Junior Analyst (Project),sns.ac,Tangerang Selatan,https://id.jobstreet.com/id/job/91682050?type=standard&ref=search-standalone&origin=cardTitle#sol=efa5b27015886be6491c0e247cc021b7aab35dcd
data-scientist,Sistem Analis,PT BANGUNPERKASA  ADHITAMASENTRA,Jakarta Barat,https://id.jobstreet.com/id/job/92218218?type=standard&ref=search-standalone&origin=cardTitle#sol=31fe470b28472b7e8698b3172c8c4101f734854f
data-scientist,Data Protection Officer,PT PERMODALAN NASIONAL MADANI,Jakarta Selatan,https://id.jobstreet.com/id/job/91780910?type=standard&ref=search-standalone&origin=cardTitle#sol=4ae90548ccd2f2c915e234e316daa6d735202a9d
data-scientist,Staff AI Operation Engineer,PT Industrial Multi Fan,Jakarta Utara,https://id.jobstreet.com/id/job/92206377?type=standard&ref=search-standalone&origin=cardTitle#sol=6eae00a07cee7c3ecfd814a319a26d0b417b68e2
data-scientist,DATA CENTER ENGINEER,PT Advanced Power Tech,Jakarta Utara,https://id.jobstreet.com/id/job/91700965?type=standard&ref=search-standalone&origin=cardTitle#sol=0f412f1f082373c8ffe612fa1041ec2d5e92dc9f
data-scientist,Associate Data Planning Analyst,PT Indocater,Jakarta Raya,https://id.jobstreet.com/id/job/92079700?type=standard&ref=search-standalone&origin=cardTitle#sol=ad2f76d7aa302a00e57e5b130c2b4cbe1d0e9b2f
data-scientist,Marketing Intelligence Staff,Yayasan Bina Nusantara,Jakarta Barat,https://id.jobstreet.com/id/job/92231065?type=standard&ref=search-standalone&origin=cardTitle#sol=9bb1615aad1c8691ba1147a624f032c4c8f7ba9f
data-scientist,Business Analyst,PT Mitra Andal Sejati,Jakarta Raya,https://id.jobstreet.com/id/job/92087049?type=standard&ref=search-standalone&origin=cardTitle#sol=db7ec6b1a018b2bddc8bc5b596d401dad732fdba
data-scientist,Data Engineer,Beyondtech,Jakarta Barat,https://id.jobstreet.com/id/job/92206456?type=standard&ref=search-standalone&origin=cardTitle#sol=01428756d5579b9092ed0c302138b6f31b50cea1
data-scientist,Senior Data Engineer,PT Sentra Vidya Utama,Surabaya,https://id.jobstreet.com/id/job/92199079?type=standard&ref=search-standalone&origin=cardTitle#sol=f1aa41ee58b541ff3b83148b9d8f26bb75940af5
data-scientist,PMO Administrator,Datalec Precision Installations Pte Ltd,Batam,https://id.jobstreet.com/id/job/92094511?type=standard&ref=search-standalone&origin=cardTitle#sol=994e74018bf43c5486d79d9374354601385eedfd
data-scientist,Master Data Engineer (Analyst),Abrihet Teknobalhar Informa,Surabaya,https://id.jobstreet.com/id/job/92028957?type=standard&ref=search-standalone&origin=cardTitle#sol=e91c0fa37f658213c7fa9336f00701328b3bb254
