Job_ID,Kategori_Pencarian,Domain_Compana,Posisi,Perusahaan,Skill_Name
JOB_0001,data-scientist,data_science,CRM and Supply Chain Data Scientist,PT Balarama Prajakarsaka Indonesia,Python
JOB_0001,data-scientist,data_science,CRM and Supply Chain Data Scientist,PT Balarama Prajakarsaka Indonesia,SQL
JOB_0001,data-scientist,data_science,CRM and Supply Chain Data Scientist,PT Balarama Prajakarsaka Indonesia,R
JOB_0001,data-scientist,data_science,CRM and Supply Chain Data Scientist,PT Balarama Prajakarsaka Indonesia,Tableau
JOB_0001,data-scientist,data_science,CRM and Supply Chain Data Scientist,PT Balarama Prajakarsaka Indonesia,Power BI
JOB_0001,data-scientist,data_science,CRM and Supply Chain Data Scientist,PT Balarama Prajakarsaka Indonesia,Excel
JOB_0001,data-scientist,data_science,CRM and Supply Chain Data Scientist,PT Balarama Prajakarsaka Indonesia,REST API
JOB_0002,data-scientist,data_science,Data Analyst,Brilliant Think Center,Python
JOB_0002,data-scientist,data_science,Data Analyst,Brilliant Think Center,SQL
JOB_0002,data-scientist,data_science,Data Analyst,Brilliant Think Center,R
JOB_0002,data-scientist,data_science,Data Analyst,Brilliant Think Center,Excel
JOB_0002,data-scientist,data_science,Data Analyst,Brilliant Think Center,TypeScript
JOB_0003,data-scientist,data_science,Data Scientist,PT Sharing Vision Indonesia,Python
JOB_0003,data-scientist,data_science,Data Scientist,PT Sharing Vision Indonesia,SQL
JOB_0003,data-scientist,data_science,Data Scientist,PT Sharing Vision Indonesia,Tableau
JOB_0003,data-scientist,data_science,Data Scientist,PT Sharing Vision Indonesia,Machine Learning
JOB_0003,data-scientist,data_science,Data Scientist,PT Sharing Vision Indonesia,Spark
JOB_0003,data-scientist,data_science,Data Scientist,PT Sharing Vision Indonesia,Azure
JOB_0004,data-scientist,data_science,DATA ANALYST,PT Mitra Saruta Indonesia,SQL
JOB_0004,data-scientist,data_science,DATA ANALYST,PT Mitra Saruta Indonesia,Tableau
JOB_0004,data-scientist,data_science,DATA ANALYST,PT Mitra Saruta Indonesia,Power BI
JOB_0004,data-scientist,data_science,DATA ANALYST,PT Mitra Saruta Indonesia,Excel
JOB_0004,data-scientist,data_science,DATA ANALYST,PT Mitra Saruta Indonesia,TypeScript
JOB_0004,data-scientist,data_science,DATA ANALYST,PT Mitra Saruta Indonesia,Problem Solving
JOB_0005,data-scientist,data_science,Staff Data Analyst,PT Mensana Aneka Satwa,Tableau
JOB_0005,data-scientist,data_science,Staff Data Analyst,PT Mensana Aneka Satwa,Power BI
JOB_0005,data-scientist,data_science,Staff Data Analyst,PT Mensana Aneka Satwa,Excel
JOB_0006,data-scientist,data_science,Data Engineer,TUNTUN SEKURITAS INDONESIA,Python
JOB_0006,data-scientist,data_science,Data Engineer,TUNTUN SEKURITAS INDONESIA,SQL
JOB_0006,data-scientist,data_science,Data Engineer,TUNTUN SEKURITAS INDONESIA,Machine Learning
JOB_0006,data-scientist,data_science,Data Engineer,TUNTUN SEKURITAS INDONESIA,Data Modeling
JOB_0006,data-scientist,data_science,Data Engineer,TUNTUN SEKURITAS INDONESIA,ETL
JOB_0006,data-scientist,data_science,Data Engineer,TUNTUN SEKURITAS INDONESIA,HTML
JOB_0006,data-scientist,data_science,Data Engineer,TUNTUN SEKURITAS INDONESIA,TypeScript
JOB_0006,data-scientist,data_science,Data Engineer,TUNTUN SEKURITAS INDONESIA,Java
JOB_0006,data-scientist,data_science,Data Engineer,TUNTUN SEKURITAS INDONESIA,REST API
JOB_0007,data-scientist,data_science,Data Scientist Intern,PT GOTO GOJEK TOKOPEDIA TBK,Machine Learning
JOB_0007,data-scientist,data_science,Data Scientist Intern,PT GOTO GOJEK TOKOPEDIA TBK,Deep Learning
JOB_0007,data-scientist,data_science,Data Scientist Intern,PT GOTO GOJEK TOKOPEDIA TBK,TypeScript
JOB_0007,data-scientist,data_science,Data Scientist Intern,PT GOTO GOJEK TOKOPEDIA TBK,Golang
JOB_0008,data-scientist,data_science,IT Quality & Data Integrity Officer,PT. Kalbio Global Medika,TypeScript
JOB_0009,data-scientist,data_science,Supervisor Data Analyst,PT Indako Trading Coy,SQL
JOB_0009,data-scientist,data_science,Supervisor Data Analyst,PT Indako Trading Coy,Power BI
JOB_0009,data-scientist,data_science,Supervisor Data Analyst,PT Indako Trading Coy,Problem Solving
JOB_0010,data-scientist,data_science,Data Analyst Revenue Staff,Taman Safari Indonesia,Excel
JOB_0013,data-scientist,data_science,Unit Head – Batch Data Engineering,"PT Bank Permata, Tbk",SQL
JOB_0013,data-scientist,data_science,Unit Head – Batch Data Engineering,"PT Bank Permata, Tbk",Excel
JOB_0013,data-scientist,data_science,Unit Head – Batch Data Engineering,"PT Bank Permata, Tbk",ETL
JOB_0013,data-scientist,data_science,Unit Head – Batch Data Engineering,"PT Bank Permata, Tbk",TypeScript
JOB_0013,data-scientist,data_science,Unit Head – Batch Data Engineering,"PT Bank Permata, Tbk",CI/CD
JOB_0013,data-scientist,data_science,Unit Head – Batch Data Engineering,"PT Bank Permata, Tbk",Git
JOB_0014,data-scientist,data_science,Junior Data Scientist,PT Akulaku Silvrr Indonesia,Python
JOB_0014,data-scientist,data_science,Junior Data Scientist,PT Akulaku Silvrr Indonesia,SQL
JOB_0014,data-scientist,data_science,Junior Data Scientist,PT Akulaku Silvrr Indonesia,Excel
JOB_0014,data-scientist,data_science,Junior Data Scientist,PT Akulaku Silvrr Indonesia,TypeScript
JOB_0015,data-scientist,data_science,Data Science & Portfolio Manager,PT Sejahtera Sama Kita,Python
JOB_0015,data-scientist,data_science,Data Science & Portfolio Manager,PT Sejahtera Sama Kita,SQL
JOB_0015,data-scientist,data_science,Data Science & Portfolio Manager,PT Sejahtera Sama Kita,Machine Learning
JOB_0015,data-scientist,data_science,Data Science & Portfolio Manager,PT Sejahtera Sama Kita,TypeScript
JOB_0016,data-scientist,data_science,Data Scientist,PT Eka Jaya Internasional,Python
JOB_0016,data-scientist,data_science,Data Scientist,PT Eka Jaya Internasional,Excel
JOB_0016,data-scientist,data_science,Data Scientist,PT Eka Jaya Internasional,Machine Learning
JOB_0016,data-scientist,data_science,Data Scientist,PT Eka Jaya Internasional,TensorFlow
JOB_0016,data-scientist,data_science,Data Scientist,PT Eka Jaya Internasional,Scikit-Learn
JOB_0016,data-scientist,data_science,Data Scientist,PT Eka Jaya Internasional,Spark
JOB_0016,data-scientist,data_science,Data Scientist,PT Eka Jaya Internasional,ETL
JOB_0016,data-scientist,data_science,Data Scientist,PT Eka Jaya Internasional,TypeScript
JOB_0016,data-scientist,data_science,Data Scientist,PT Eka Jaya Internasional,Java
JOB_0017,data-scientist,data_science,Data Analyst,PT Bersaudara Inti Corpora,Python
JOB_0017,data-scientist,data_science,Data Analyst,PT Bersaudara Inti Corpora,SQL
JOB_0017,data-scientist,data_science,Data Analyst,PT Bersaudara Inti Corpora,R
JOB_0017,data-scientist,data_science,Data Analyst,PT Bersaudara Inti Corpora,Power BI
JOB_0017,data-scientist,data_science,Data Analyst,PT Bersaudara Inti Corpora,Excel
JOB_0017,data-scientist,data_science,Data Analyst,PT Bersaudara Inti Corpora,Machine Learning
JOB_0017,data-scientist,data_science,Data Analyst,PT Bersaudara Inti Corpora,TypeScript
JOB_0018,data-scientist,data_science,Data Engineer,Pengiklan Anonim,Python
JOB_0018,data-scientist,data_science,Data Engineer,Pengiklan Anonim,R
JOB_0018,data-scientist,data_science,Data Engineer,Pengiklan Anonim,PostgreSQL
JOB_0018,data-scientist,data_science,Data Engineer,Pengiklan Anonim,MySQL
JOB_0018,data-scientist,data_science,Data Engineer,Pengiklan Anonim,MongoDB
JOB_0018,data-scientist,data_science,Data Engineer,Pengiklan Anonim,Tableau
JOB_0018,data-scientist,data_science,Data Engineer,Pengiklan Anonim,Power BI
JOB_0018,data-scientist,data_science,Data Engineer,Pengiklan Anonim,Data Modeling
JOB_0018,data-scientist,data_science,Data Engineer,Pengiklan Anonim,ETL
JOB_0019,data-scientist,data_science,Data Analyst,Pengiklan Anonim,SQL
JOB_0019,data-scientist,data_science,Data Analyst,Pengiklan Anonim,Tableau
JOB_0019,data-scientist,data_science,Data Analyst,Pengiklan Anonim,Power BI
JOB_0019,data-scientist,data_science,Data Analyst,Pengiklan Anonim,Excel
JOB_0020,data-scientist,data_science,Product Analyst,PT Tjitra Selaras Sampoerno,TypeScript
JOB_0021,data-scientist,data_science,Growth Analyst,Jago Coffee,SQL
JOB_0021,data-scientist,data_science,Growth Analyst,Jago Coffee,Excel
JOB_0021,data-scientist,data_science,Growth Analyst,Jago Coffee,TypeScript
JOB_0021,data-scientist,data_science,Growth Analyst,Jago Coffee,Golang
JOB_0022,data-scientist,data_science,Data & Project Support Section Head,PT Depoguna Bangunan Online,Golang
JOB_0023,data-scientist,data_science,Data Analyst,Jago Coffee,Python
JOB_0023,data-scientist,data_science,Data Analyst,Jago Coffee,SQL
JOB_0023,data-scientist,data_science,Data Analyst,Jago Coffee,Excel
JOB_0023,data-scientist,data_science,Data Analyst,Jago Coffee,TypeScript
JOB_0023,data-scientist,data_science,Data Analyst,Jago Coffee,Golang
JOB_0024,data-scientist,data_science,Specialist AI Data Governance,"PT Bank Permata, Tbk",Excel
JOB_0024,data-scientist,data_science,Specialist AI Data Governance,"PT Bank Permata, Tbk",Machine Learning
JOB_0024,data-scientist,data_science,Specialist AI Data Governance,"PT Bank Permata, Tbk",TypeScript
JOB_0025,data-scientist,data_science,Data Analyst - Cost Management Logistik,PT JET TRANSPORT SERVICES,Tableau
JOB_0025,data-scientist,data_science,Data Analyst - Cost Management Logistik,PT JET TRANSPORT SERVICES,Power BI
JOB_0025,data-scientist,data_science,Data Analyst - Cost Management Logistik,PT JET TRANSPORT SERVICES,Excel
JOB_0025,data-scientist,data_science,Data Analyst - Cost Management Logistik,PT JET TRANSPORT SERVICES,TypeScript
JOB_0025,data-scientist,data_science,Data Analyst - Cost Management Logistik,PT JET TRANSPORT SERVICES,Problem Solving
JOB_0026,data-scientist,data_science,AI Engineer,TUNTUN SEKURITAS INDONESIA,Python
JOB_0026,data-scientist,data_science,AI Engineer,TUNTUN SEKURITAS INDONESIA,Machine Learning
JOB_0026,data-scientist,data_science,AI Engineer,TUNTUN SEKURITAS INDONESIA,Deep Learning
JOB_0026,data-scientist,data_science,AI Engineer,TUNTUN SEKURITAS INDONESIA,TensorFlow
JOB_0026,data-scientist,data_science,AI Engineer,TUNTUN SEKURITAS INDONESIA,PyTorch
JOB_0026,data-scientist,data_science,AI Engineer,TUNTUN SEKURITAS INDONESIA,JavaScript
JOB_0026,data-scientist,data_science,AI Engineer,TUNTUN SEKURITAS INDONESIA,TypeScript
JOB_0026,data-scientist,data_science,AI Engineer,TUNTUN SEKURITAS INDONESIA,Node.js
JOB_0026,data-scientist,data_science,AI Engineer,TUNTUN SEKURITAS INDONESIA,Golang
JOB_0026,data-scientist,data_science,AI Engineer,TUNTUN SEKURITAS INDONESIA,Java
JOB_0027,data-scientist,data_science,Senior Data Scientist (Analytics) - Grab Financial Services,PT Solusi Transportasi Indonesia,Python
JOB_0027,data-scientist,data_science,Senior Data Scientist (Analytics) - Grab Financial Services,PT Solusi Transportasi Indonesia,SQL
JOB_0027,data-scientist,data_science,Senior Data Scientist (Analytics) - Grab Financial Services,PT Solusi Transportasi Indonesia,Power BI
JOB_0027,data-scientist,data_science,Senior Data Scientist (Analytics) - Grab Financial Services,PT Solusi Transportasi Indonesia,Excel
JOB_0027,data-scientist,data_science,Senior Data Scientist (Analytics) - Grab Financial Services,PT Solusi Transportasi Indonesia,JavaScript
JOB_0027,data-scientist,data_science,Senior Data Scientist (Analytics) - Grab Financial Services,PT Solusi Transportasi Indonesia,TypeScript
JOB_0027,data-scientist,data_science,Senior Data Scientist (Analytics) - Grab Financial Services,PT Solusi Transportasi Indonesia,REST API
JOB_0027,data-scientist,data_science,Senior Data Scientist (Analytics) - Grab Financial Services,PT Solusi Transportasi Indonesia,UI/UX
JOB_0028,data-scientist,data_science,Data Scientist,MEDITAP,Python
JOB_0028,data-scientist,data_science,Data Scientist,MEDITAP,Machine Learning
JOB_0028,data-scientist,data_science,Data Scientist,MEDITAP,TypeScript
JOB_0029,data-scientist,data_science,Document Controller,Datalec Precision Installations Pte Ltd,Excel
JOB_0029,data-scientist,data_science,Document Controller,Datalec Precision Installations Pte Ltd,TypeScript
JOB_0029,data-scientist,data_science,Document Controller,Datalec Precision Installations Pte Ltd,Golang
JOB_0030,data-scientist,data_science,Data Engineer,PT Data Labs Analytics,Python
JOB_0030,data-scientist,data_science,Data Engineer,PT Data Labs Analytics,SQL
JOB_0030,data-scientist,data_science,Data Engineer,PT Data Labs Analytics,BigQuery
JOB_0030,data-scientist,data_science,Data Engineer,PT Data Labs Analytics,Data Modeling
JOB_0030,data-scientist,data_science,Data Engineer,PT Data Labs Analytics,ETL
JOB_0030,data-scientist,data_science,Data Engineer,PT Data Labs Analytics,TypeScript
JOB_0030,data-scientist,data_science,Data Engineer,PT Data Labs Analytics,Java
JOB_0030,data-scientist,data_science,Data Engineer,PT Data Labs Analytics,AWS
JOB_0030,data-scientist,data_science,Data Engineer,PT Data Labs Analytics,GCP
JOB_0030,data-scientist,data_science,Data Engineer,PT Data Labs Analytics,Azure
JOB_0031,data-scientist,data_science,Data Warehouse and Reporting Specialist,PT Bina Karya Prima,SQL
JOB_0031,data-scientist,data_science,Data Warehouse and Reporting Specialist,PT Bina Karya Prima,Power BI
JOB_0031,data-scientist,data_science,Data Warehouse and Reporting Specialist,PT Bina Karya Prima,ETL
