Job Title,Skills
ACCESSIBILITY SPECIALIST,"Web Accessibility Guidelines, HTML, CSS, JavaScript, User Experience Design"
ADMIN BIG DATA,"Big Data Management, Hadoop, Spark, Data Warehousing, SQL"
AGILE PROJECT MANAGER,"Agile Methodologies, Scrum, Kanban, Project Management Tools, Leadership"
ANDROID DEVELOPER,"Java, Kotlin, Android SDK, Mobile App Development, UI/UX Design"
ANSIBLE AUTOMATION ENGINEER,"Ansible, Automation Scripts, Linux, Networking, Cloud Computing"
APPLICATION SECURITY ENGINEER,"Security Protocols, Penetration Testing, Secure Coding Practices, Compliance"
ARTIFACTORY ADMINISTRATOR,"Artifactory, Repository Management, DevOps Tools, CI/CD Pipelines"
ARTIFACTORY ENGINEER,"Artifactory, DevOps Practices, Continuous Integration, Software Packaging"
ARTIFICIAL INTELLIGENCE / MACHINE LEARNING LEADER,"AI/ML Frameworks, Leadership, Strategic Planning, Data Science"
ARTIFICIAL INTELLIGENCE / MACHINE LEARNING SR.LEADER,"Advanced AI/ML, Leadership, Strategic Vision, Team Management"
ARTIFICIAL INTELLIGENCE ARCHITECT,"AI/ML Frameworks, System Architecture, Cloud Computing, Data Modeling"
ARTIFICIAL INTELLIGENCE RESEARCHER,"Research Methodologies, AI/ML Algorithms, Python, Data Analysis"
AWS DEVOPS ENGINEER,"AWS Services, DevOps Practices, CI/CD Pipelines, Automation"
AWS SOLUTIONS ARCHITECT,"AWS Services, Cloud Architecture, Solution Design, Cost Optimization"
AZURE DEVOPS ENGINEER,"Azure Services, DevOps Practices, CI/CD Pipelines, Automation"
BAMBOO ENGINEER,"Bamboo, CI/CD Pipelines, Build Automation, Software Configuration Management"
BIG DATA ARCHITECT,"Big Data Technologies, Hadoop, Spark, Data Warehousing, System Design"
BIG DATA ENGINEER,"Hadoop, Spark, ETL Processes, Data Processing, Database Management"
BIG DATA SPECIALIST,"Big Data Technologies, Data Analysis, SQL, Data Mining"
BITBUCKET ENGINEER,"Bitbucket, Git, Version Control, CI/CD Integration"
BLOCKCHAIN DEVELOPER,"Blockchain Technologies, Solidity, Cryptography, Smart Contracts"
BUILD AND RELEASE ENGINEER,"CI/CD Pipelines, Build Systems, Automation, Configuration Management"
BUILD ENGINEER,"Build Systems, Scripting, Automation, Software Configuration Management"
BUSINESS SYSTEMS ANALYST,"Requirements Gathering, Process Analysis, System Design, Documentation"
C# DEVELOPER,"C#, .NET Framework, ASP.NET, Software Development, Object-Oriented Programming"
CHEF INSPEC ENGINEER,"Chef Inspec, Compliance Automation, Infrastructure Testing, Ruby"
CHEF OPERATIONS ENGINEER,"Chef, Automation, Infrastructure Management, Ruby"
CLOUD ADMINISTRATOR,"Cloud Platforms, System Administration, Virtualization, Networking"
CLOUD ARCHITECT,"Cloud Platforms, System Architecture, Cloud Security, DevOps"
CLOUD AUTOMATION ENGINEER,"Cloud Automation Tools, Scripting, Configuration Management, DevOps"
CLOUD NETWORK ENGINEER,"Cloud Networking, Virtual Networks, Network Security, Cloud Platforms"
CLOUD SECURITY ENGINEER,"Cloud Security, Security Protocols, Compliance, Cloud Platforms"
CNC PROGRAMMER,"CNC Machines, CAD/CAM Software, G-Code, Manufacturing Processes"
CODER,"Programming Languages, Scripting, Problem Solving, Software Development"
COMPUTER GRAPHICS ANIMATOR,"Animation Software, 3D Modeling, Visual Effects, Graphic Design"
COMPUTER HARDWARE ENGINEER,"Hardware Design, Circuit Design, Embedded Systems, Testing"
COMPUTER NETWORK ARCHITECT,"Network Design, Network Protocols, Security, System Architecture"
COMPUTER PROGRAMMER,"Programming Languages, Algorithms, Software Development, Debugging"
COMPUTER RESEARCH SCIENTIST,"Research Methodologies, Data Analysis, Programming, Scientific Writing"
COMPUTER SYSTEMS ANALYST,"Systems Analysis, Requirements Gathering, Process Improvement, IT Consulting"
CONFLUENCE ENGINEER,"Confluence, Atlassian Suite, Documentation, Collaboration Tools"
CONSUL ENGINEER,"Consul, Service Discovery, Infrastructure Automation, Networking"
COVERAGE.PY ENGINEER,"Coverage.py, Python Testing, Test Coverage Analysis, Software Quality"
DATA ANALYST,"Data Analysis, SQL, Data Visualization, Statistical Analysis"
DATA ARCHITECT,"Data Modeling, Database Design, ETL Processes, Data Warehousing"
DATA ENGINEER,"ETL Processes, Data Warehousing, Big Data Technologies, Database Management"
DATA MODELER,"Data Modeling Techniques, Database Design, Data Governance, Data Analysis"
DATA SCIENTIST,"Machine Learning, Statistical Analysis, Data Mining, Programming"
DATABASE ADMINISTRATOR,"Database Management, SQL, Performance Tuning, Backup and Recovery"
DATADOG ENGINEER,"Datadog, Monitoring, System Performance, Cloud Infrastructure"
DEVOPS ARCHITECT,"DevOps Practices, Cloud Computing, Automation, System Architecture"
DEVOPS ENGINEER,"Automation, CI/CD, Cloud Computing, Scripting"
DEVOPS MANAGER,"DevOps Practices, Team Leadership, Project Management, Automation"
DEVSECOPS ARCHITECT,"DevSecOps Practices, Security Automation, Cloud Security, System Architecture"
DEVSECOPS ENGINEER,"Security Automation, CI/CD, Cloud Security, Scripting"
DIRECTOR OF ENGINEERING,"Leadership, Software Development, Project Management, Team Management"
DOCKER ENGINEER,"Docker, Containerization, Orchestration, DevOps"
ELK ENGINEER,"ELK Stack, Log Management, Data Analysis, System Monitoring"
EMBEDDED SOFTWARE ENGINEER,"Embedded Systems, C/C++, Firmware Development, Hardware Interfaces"
ENTRY LEVEL DEVELOPER,"Programming Basics, Software Development, Problem Solving, Learning Agility"
ENTRY LEVEL NETWORK ENGINEER,"Networking Basics, Troubleshooting, System Administration, Learning Agility"
ENTRY LEVEL PROGRAMMER,"Programming Basics, Software Development, Problem Solving, Learning Agility"
